,key,city,country,population,latitude,longitude
257,1710770,Indang,PH,41159,14.19528,120.87694
258,1711005,Iloilo,PH,387681,10.69694,122.56444
259,1715348,Davao,PH,1212504,7.07306,125.61278
260,1720052,Calumpang,PH,15589,14.6228,121.0897
261,1720681,Calamba,PH,316612,14.21167,121.16528
262,1726280,Batangas,PH,237370,13.7567,121.0584
263,1729524,Bacoor,PH,356974,14.45896,120.93851
264,1729564,Bacolod City,PH,454898,10.66667,122.95
265,1730501,Antipolo,PH,549543,14.62578,121.12251
266,7290466,Pasig City,PH,617301,14.58691,121.0614
267,4563008,Caguas,PR,86804,18.23412,-66.0485
268,1019704,Bethlehem,ZA,83654,-28.23078,28.30707
269,2267057,Lisbon,PT,517802,38.71667,-9.13333
270,3437547,Pedro Juan Caballero,PY,75109,-22.54722,-55.73333
271,491422,Sochi,RU,327608,43.59917,39.72569
272,498817,Saint Petersburg,RU,5028000,59.93863,30.31413
273,524901,Moscow,RU,10381222,55.75222,37.61556
274,104515,Mecca,SA,1323624,21.42664,39.82563
275,379252,Khartoum,SD,1974647,15.55177,32.53241
276,2673730,Stockholm,SE,1515017,59.33258,18.0649
277,1880252,Singapore,SG,3547809,1.28967,103.85007
278,3196359,Ljubljana,SI,272220,46.05108,14.50513
279,2253354,Dakar,SN,2476400,14.6937,-17.44406
280,3583096,Soyapango,SV,329708,13.71024,-89.13989
281,3583361,San Salvador,SV,525990,13.68935,-89.18718
282,3585484,Ilopango,SV,38890,13.70167,-89.10944
283,170654,Damascus,SY,1569394,33.5102,36.29128
284,1153090,Kamphaeng Phet,TH,58787,16.48344,99.52153
285,1605239,Udon Thani,TH,247231,17.41567,102.78589
286,1607737,Phetchabun,TH,50656,16.41904,101.16056
287,1609350,Bangkok,TH,5104476,13.75398,100.50144
288,1611269,Chanthaburi,TH,99819,12.60961,102.10447
289,3573576,Tunapuna,TT,17758,10.65245,-61.38878
290,3573732,Sangre Grande,TT,15968,10.58705,-61.13008
291,3574309,Laventille,TT,21000,10.64917,-61.49889
292,1668341,Taipei,TW,7871900,25.04776,121.53185
293,6696918,Taoyuan City,TW,402014,24.99368,121.29696
294,148730,Zanzibar,TZ,403658,-6.16394,39.19793
295,148730,Zanzibar,TZ,403658,-6.16394,39.19793
296,161325,Arusha,TZ,341136,-3.36667,36.68333
297,232422,Kampala,UG,1353189,0.31628,32.58219
298,233508,Entebbe,UG,62969,0.05621,32.47949
299,5261457,Madison,US,248951,43.07305,-89.40123
300,4076598,Mobile,US,194288,30.69436,-88.04305
301,4101241,Benton,US,34177,34.56454,-92.58683
302,4101260,Bentonville,US,44499,36.37285,-94.20882
303,4466033,Fayetteville,US,201963,35.05266,-78.87836
