key,city,country,population,latitude,longitude,clusters
2992166,Montpellier,FR,248252,43.61092,3.8772300000000004,-1
2996944,Lyon,FR,472317,45.748459999999994,4.84671,13
3014728,Grenoble,FR,158552,45.17869,5.71479,13
3018074,Fontainebleau,FR,19717,48.409079999999996,2.7017700000000002,-1
3033791,Belfort,FR,54562,47.642179999999996,6.85385,13
2399697,Libreville,GA,578156,0.39241,9.453560000000001,-1
2179537,Wellington,NZ,381900,-41.286640000000006,174.77557,-1
4843564,Stamford,US,128874,41.05343,-73.53873,4
2637487,Southampton,GB,246201,50.90395,-1.40428,7
5134086,Rochester,US,209802,43.15478,-77.61556,4
5134086,Rochester,US,209802,43.15478,-77.61556,4
2640729,Oxford,GB,171380,51.75222,-1.25596,7
2643044,Margate,GB,60134,51.38132,1.3861700000000001,7
2643123,Manchester,GB,395515,53.48095,-2.23743,7
2646458,Huddersfield,GB,149017,53.64904,-1.7841599999999997,7
4762894,Hampton,US,136454,37.02987,-76.34522,4
2648579,Glasgow,GB,591620,55.86515,-4.257630000000001,20
4992982,Flint,US,98310,43.01253,-83.68746,4
2650225,Edinburgh,GB,464990,55.952059999999996,-3.1964799999999998,20
2650225,Edinburgh,GB,464990,55.952059999999996,-3.1964799999999998,20
4464368,Durham,US,257636,35.99403,-78.89862,4
2654675,Bristol,GB,617280,51.45523,-2.59665,7
4930956,Boston,US,667137,42.35843,-71.05977,4
2655603,Birmingham,GB,984333,52.48141999999999,-1.89983,7
2655603,Birmingham,GB,984333,52.48141999999999,-1.89983,7
2656046,Bedford,GB,106940,52.13459,-0.46631999999999996,7
2656046,Bedford,GB,106940,52.13459,-0.46631999999999996,7
611717,Tbilisi,GE,1049498,41.694109999999995,44.83368,0
264371,Athens,GR,664046,37.98376,23.72784,-1
3590389,San Benito,GT,30764,16.91675,-89.91898,4
3598132,Guatemala City,GT,994938,14.640720000000002,-90.51326999999999,4
1819729,Hong Kong,HK,7012738,22.27832,114.17468999999998,15
3600949,Tegucigalpa,HN,850848,14.0818,-87.20681,4
5392952,Santa Barbara,US,91842,34.42083,-119.69819,3
1621177,Yogyakarta,ID,636660,-7.80139,110.36471999999999,-1
1626921,Sengkang,ID,59523,-4.1279,120.0297,-1
1631761,Pekanbaru,ID,703956,0.51667,101.44167,21
1642911,Jakarta,ID,8540121,-6.21462,106.84513000000001,-1
1645133,Dumai,ID,143760,1.6671099999999999,101.44315999999999,21
2964405,Ennis,IE,24427,52.84361,-8.98639,-1
2964574,Dublin,IE,1024027,53.333059999999996,-6.24889,-1
281184,Jerusalem,IL,801000,31.769040000000004,35.21633,-1
1257629,Salem,IN,778396,11.65376,78.15538000000001,10
1259229,Pune,IN,2935744,18.51957,73.85535,-1
1259425,Puducherry,IN,227411,11.933810000000001,79.82979,10
1261481,New Delhi,IN,317797,28.635759999999998,77.22445,22
1264527,Chennai,IN,4328063,13.08784,80.27847,10
1265873,Kozhikode,IN,439922,11.24802,75.7804,-1
1269843,Hyderabad,IN,3597816,17.38405,78.45636,10
1273294,Delhi,IN,10927986,28.65195,77.23149000000001,22
